"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled","timepoint"
"115911054","06:43:00","06:43:00","34560","1",,"0","1",,"1"
"115911054","06:45:00","06:45:00","34543","2",,"0","0",,"1"
"115911054","06:49:00","06:49:00","34559","3",,"0","0",,"1"
"115911054","06:58:00","06:58:00","34782","4",,"1","0",,"1"
"115911071","18:43:00","18:43:00","34560","1",,"0","1",,"1"
"115911071","18:45:00","18:45:00","34543","2",,"0","0",,"1"
"115911071","18:49:00","18:49:00","34559","3",,"0","0",,"1"
"115911071","18:58:00","18:58:00","34782","4",,"1","0",,"1"
"115910987","04:21:00","04:21:00","34511","1",,"0","1",,"1"
"115910987","04:24:00","04:24:00","34519","2",,"0","0",,"1"
"115910987","04:27:00","04:27:00","34541","3",,"0","0",,"1"
"115910987","04:31:00","04:31:00","34525","4",,"0","0",,"1"
"115910987","04:33:00","04:33:00","34529","5",,"0","0",,"1"
"115910987","04:37:00","04:37:00","34543","6",,"0","0",,"1"
"115910987","04:41:00","04:41:00","34559","7",,"0","0",,"1"
"115910987","04:48:00","04:48:00","34781","8",,"1","0",,"1"
"115910990","05:51:00","05:51:00","34511","1",,"0","1",,"1"
"115910990","05:54:00","05:54:00","34519","2",,"0","0",,"1"
"115910990","05:57:00","05:57:00","34541","3",,"0","0",,"1"
"115910990","06:01:00","06:01:00","34525","4",,"0","0",,"1"
"115910990","06:03:00","06:03:00","34529","5",,"0","0",,"1"
"115910990","06:07:00","06:07:00","34543","6",,"0","0",,"1"
"115910990","06:11:00","06:11:00","34559","7",,"0","0",,"1"
"115910990","06:18:00","06:18:00","34781","8",,"1","0",,"1"
"115910996","07:21:00","07:21:00","34511","1",,"0","1",,"1"
"115910996","07:24:00","07:24:00","34519","2",,"0","0",,"1"
"115910996","07:27:00","07:27:00","34541","3",,"0","0",,"1"
"115910996","07:31:00","07:31:00","34525","4",,"0","0",,"1"
"115910996","07:33:00","07:33:00","34529","5",,"0","0",,"1"
"115910996","07:37:00","07:37:00","34543","6",,"0","0",,"1"
"115910996","07:41:00","07:41:00","34559","7",,"0","0",,"1"
"115910996","07:48:00","07:48:00","34781","8",,"1","0",,"1"
"115911049","22:51:00","22:51:00","34511","1",,"0","1",,"1"
"115911049","22:54:00","22:54:00","34519","2",,"0","0",,"1"
"115911049","22:57:00","22:57:00","34541","3",,"0","0",,"1"
"115911049","23:01:00","23:01:00","34525","4",,"0","0",,"1"
"115911049","23:03:00","23:03:00","34529","5",,"0","0",,"1"
"115911049","23:07:00","23:07:00","34543","6",,"0","0",,"1"
"115911049","23:11:00","23:11:00","34559","7",,"0","0",,"1"
"115911049","23:18:00","23:18:00","34781","8",,"1","0",,"1"
"115911029","15:36:00","15:36:00","34511","1",,"0","1",,"1"
"115911029","15:39:00","15:39:00","34519","2",,"0","0",,"1"
"115911029","15:42:00","15:42:00","34541","3",,"0","0",,"1"
"115911029","15:46:00","15:46:00","34525","4",,"0","0",,"1"
"115911029","15:48:00","15:48:00","34529","5",,"0","0",,"1"
"115911029","15:52:00","15:52:00","34543","6",,"0","0",,"1"
"115911029","15:56:00","15:56:00","34559","7",,"0","0",,"1"
"115911029","16:03:00","16:03:00","34781","8",,"1","0",,"1"
"115911048","22:21:00","22:21:00","34511","1",,"0","1",,"1"
"115911048","22:24:00","22:24:00","34519","2",,"0","0",,"1"
"115911048","22:27:00","22:27:00","34541","3",,"0","0",,"1"
"115911048","22:31:00","22:31:00","34525","4",,"0","0",,"1"
"115911048","22:33:00","22:33:00","34529","5",,"0","0",,"1"
"115911048","22:37:00","22:37:00","34543","6",,"0","0",,"1"
"115911048","22:41:00","22:41:00","34559","7",,"0","0",,"1"
"115911048","22:48:00","22:48:00","34781","8",,"1","0",,"1"
"115911085","04:31:00","04:31:00","34781","1",,"0","1",,"1"
"115911085","04:35:00","04:35:00","34558","2",,"0","0",,"1"
"115911085","04:39:00","04:39:00","34544","3",,"0","0",,"1"
"115911085","04:42:00","04:42:00","34530","4",,"0","0",,"1"
"115911085","04:45:00","04:45:00","34526","5",,"0","0",,"1"
"115911085","04:49:00","04:49:00","34542","6",,"0","0",,"1"
"115911085","04:52:00","04:52:00","34520","7",,"0","0",,"1"
"115911085","04:58:00","04:58:00","34510","8",,"1","0",,"1"
"115911126","15:31:00","15:31:00","34781","1",,"0","1",,"1"
"115911126","15:35:00","15:35:00","34558","2",,"0","0",,"1"
"115911126","15:39:00","15:39:00","34544","3",,"0","0",,"1"
"115911126","15:42:00","15:42:00","34530","4",,"0","0",,"1"
"115911126","15:45:00","15:45:00","34526","5",,"0","0",,"1"
"115911126","15:49:00","15:49:00","34542","6",,"0","0",,"1"
"115911126","15:52:00","15:52:00","34520","7",,"0","0",,"1"
"115911126","15:58:00","15:58:00","34510","8",,"1","0",,"1"
"115911131","16:46:00","16:46:00","34781","1",,"0","1",,"1"
"115911131","16:50:00","16:50:00","34558","2",,"0","0",,"1"
"115911131","16:54:00","16:54:00","34544","3",,"0","0",,"1"
"115911131","16:57:00","16:57:00","34530","4",,"0","0",,"1"
"115911131","17:00:00","17:00:00","34526","5",,"0","0",,"1"
"115911131","17:04:00","17:04:00","34542","6",,"0","0",,"1"
"115911131","17:07:00","17:07:00","34520","7",,"0","0",,"1"
"115911131","17:13:00","17:13:00","34510","8",,"1","0",,"1"
"115911105","10:16:00","10:16:00","34781","1",,"0","1",,"1"
"115911105","10:20:00","10:20:00","34558","2",,"0","0",,"1"
"115911105","10:24:00","10:24:00","34544","3",,"0","0",,"1"
"115911105","10:27:00","10:27:00","34530","4",,"0","0",,"1"
"115911105","10:30:00","10:30:00","34526","5",,"0","0",,"1"
