"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
"113B","SA","115911064","Union Station","0"," 113  1","1333979"
"113B","SA","115911067","Union Station","0"," 113  1","1333979"
"113B","SA","115911072","Union Station","0"," 113  1","1333979"
"113B","SA","115911073","Union Station","0"," 113  1","1333979"
"113G","SA","115911008","Union Station","0"," 113 31","1333976"
"113G","SA","115911026","Union Station","0"," 113 31","1333976"
"113G","SA","115910998","Union Station","0"," 113 32","1333976"
"113G","SA","115911016","Union Station","0"," 113 32","1333976"
"113B","SA","115911155","Westminster Station","1"," 113  1","1333987"
"113G","SA","115911088","Wheat Ridge Ward Station","1"," 113 30","1333990"
"113G","SA","115911108","Wheat Ridge Ward Station","1"," 113 31","1333990"
"113G","SA","115911107","Wheat Ridge Ward Station","1"," 113 34","1333990"
"113G","SA","115911105","Wheat Ridge Ward Station","1"," 113 35","1333990"
"113G","SA","115911124","Wheat Ridge Ward Station","1"," 113 30","1333990"
"113G","SA","115911116","Wheat Ridge Ward Station","1"," 113 32","1333990"
"113G","SU","115911197","Union Station","0"," 113 31","1333976"
"113G","SU","115911231","Union Station","0"," 113 32","1333976"
"113G","SU","115911249","Union Station","0"," 113 32","1333976"
"113G","SU","115911212","Union Station","0"," 113 33","1333976"
"113B","SU","115911263","Union Station","0"," 113  1","1333979"
"113G","SU","115911199","Union Station","0"," 113 30","1333976"
"113G","SU","115911336","Wheat Ridge Ward Station","1"," 113 30","1333990"
"113G","SU","115911339","Wheat Ridge Ward Station","1"," 113 30","1333990"
"113G","SU","115911334","Wheat Ridge Ward Station","1"," 113 31","1333990"
"113G","SU","115911312","Wheat Ridge Ward Station","1"," 113 32","1333990"
"113G","SU","115911329","Wheat Ridge Ward Station","1"," 113 32","1333990"
"113G","SU","115911319","Wheat Ridge Ward Station","1"," 113 35","1333990"
"113B","SU","115911342","Westminster Station","1"," 113  1","1333987"
"113B","SU","115911346","Westminster Station","1"," 113  1","1333987"
"113B","SU","115911356","Westminster Station","1"," 113  1","1333987"
"113B","SU","115911357","Westminster Station","1"," 113  1","1333987"
"113G","MT","115909618","Union Station","0"," 113 30","1333976"
