"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"1334013","39.928604","-104.965279","1",
"1334013","39.91994","-104.96043","2",
"1334013","39.91994","-104.96043","3",
"1334013","39.919699","-104.960296","4",
"1334013","39.919699","-104.960296","5",
"1334013","39.919021","-104.959916","6",
"1334013","39.919021","-104.959916","7",
"1334013","39.918986","-104.959897","8",
"1334013","39.918986","-104.959897","9",
"1334013","39.918951","-104.959877","10",
"1334013","39.918951","-104.959877","11",
"1334013","39.918916","-104.959857","12",
"1334013","39.918916","-104.959857","13",
"1334013","39.918881","-104.959838","14",
"1334013","39.918881","-104.959838","15",
"1334013","39.918846","-104.959818","16",
"1334013","39.918846","-104.959818","17",
"1334013","39.918811","-104.959799","18",
"1334013","39.918811","-104.959799","19",
"1334013","39.918776","-104.95978","20",
"1334013","39.918776","-104.95978","21",
"1334013","39.918741","-104.95976","22",
"1334013","39.918741","-104.95976","23",
"1334013","39.918706","-104.959741","24",
"1334013","39.918706","-104.959741","25",
"1334013","39.918671","-104.959722","26",
"1334013","39.918671","-104.959722","27",
"1334013","39.918635","-104.959702","28",
"1334013","39.918635","-104.959702","29",
"1334013","39.9186","-104.959683","30",
"1334013","39.9186","-104.959683","31",
"1334013","39.918565","-104.959664","32",
"1334013","39.918565","-104.959664","33",
"1334013","39.91853","-104.959645","34",
"1334013","39.91853","-104.959645","35",
"1334013","39.918494","-104.959627","36",
"1334013","39.918494","-104.959627","37",
"1334013","39.918459","-104.959608","38",
"1334013","39.918459","-104.959608","39",
"1334013","39.918424","-104.95959","40",
"1334013","39.918424","-104.95959","41",
"1334013","39.918388","-104.959571","42",
"1334013","39.918388","-104.959571","43",
"1334013","39.918118","-104.959436","44",
"1334013","39.918118","-104.959436","45",
"1334013","39.917846","-104.959309","46",
"1334013","39.917846","-104.959309","47",
"1334013","39.917571","-104.95919","48",
"1334013","39.917571","-104.95919","49",
"1334013","39.917294","-104.959079","50",
"1334013","39.917294","-104.959079","51",
"1334013","39.917016","-104.958976","52",
"1334013","39.917016","-104.958976","53",
"1334013","39.916735","-104.958882","54",
"1334013","39.916735","-104.958882","55",
"1334013","39.916453","-104.958797","56",
"1334013","39.916453","-104.958797","57",
"1334013","39.91617","-104.958719","58",
"1334013","39.91617","-104.958719","59",
"1334013","39.915885","-104.958651","60",
"1334013","39.915885","-104.958651","61",
"1334013","39.915599","-104.95859","62",
"1334013","39.915599","-104.95859","63",
"1334013","39.915312","-104.958539","64",
"1334013","39.915312","-104.958539","65",
"1334013","39.915025","-104.958496","66",
"1334013","39.915025","-104.958496","67",
"1334013","39.914736","-104.958461","68",
"1334013","39.914736","-104.958461","69",
"1334013","39.914447","-104.958435","70",
"1334013","39.914447","-104.958435","71",
"1334013","39.914158","-104.958418","72",
"1334013","39.914158","-104.958418","73",
"1334013","39.913868","-104.95841","74",
"1334013","39.913868","-104.95841","75",
"1334013","39.913579","-104.95841","76",
"1334013","39.913579","-104.95841","77",
"1334013","39.913289","-104.958419","78",
"1334013","39.913289","-104.958419","79",
"1334013","39.913","-104.958436","80",
"1334013","39.913","-104.958436","81",
"1334013","39.912711","-104.958462","82",
"1334013","39.912711","-104.958462","83",
"1334013","39.912423","-104.958497","84",
"1334013","39.912423","-104.958497","85",
"1334013","39.912385","-104.958502","86",
"1334013","39.912385","-104.958502","87",
"1334013","39.912347","-104.958508","88",
"1334013","39.912347","-104.958508","89",
"1334013","39.912309","-104.958513","90",
"1334013","39.912309","-104.958513","91",
"1334013","39.912271","-104.958519","92",
"1334013","39.912271","-104.958519","93",
"1334013","39.912233","-104.958524","94",
"1334013","39.912233","-104.958524","95",
"1334013","39.912195","-104.95853","96",
"1334013","39.912195","-104.95853","97",
"1334013","39.912158","-104.958536","98",
"1334013","39.912158","-104.958536","99",
"1334013","39.91212","-104.958542","100",
"1334013","39.91212","-104.958542","101",
"1334013","39.912082","-104.958548","102",
"1334013","39.912082","-104.958548","103",
"1334013","39.912044","-104.958554","104",
"1334013","39.912044","-104.958554","105",
"1334013","39.912006","-104.958561","106",
"1334013","39.912006","-104.958561","107",
"1334013","39.911968","-104.958567","108",
"1334013","39.911968","-104.958567","109",
"1334013","39.911931","-104.958573","110",
"1334013","39.911931","-104.958573","111",
"1334013","39.911893","-104.95858","112",
"1334013","39.911893","-104.95858","113",
"1334013","39.911855","-104.958586","114",
"1334013","39.911855","-104.958586","115",
"1334013","39.911817","-104.958593","116",
"1334013","39.911817","-104.958593","117",
"1334013","39.91178","-104.958599","118",
"1334013","39.91178","-104.958599","119",
"1334013","39.911742","-104.958606","120",
"1334013","39.911742","-104.958606","121",
"1334013","39.897733","-104.961006","122",
"1334013","39.897733","-104.961006","123",
"1334013","39.897709","-104.961011","124",
"1334013","39.897709","-104.961011","125",
"1334013","39.897684","-104.961015","126",
"1334013","39.897684","-104.961015","127",
"1334013","39.89766","-104.961019","128",
"1334013","39.89766","-104.961019","129",
"1334013","39.897635","-104.961023","130",
"1334013","39.897635","-104.961023","131",
"1334013","39.89761","-104.961027","132",
"1334013","39.89761","-104.961027","133",
"1334013","39.897586","-104.961031","134",
"1334013","39.897586","-104.961031","135",
"1334013","39.897561","-104.961035","136",
"1334013","39.897561","-104.961035","137",
"1334013","39.897536","-104.961039","138",
"1334013","39.897536","-104.961039","139",
"1334013","39.897512","-104.961043","140",
"1334013","39.897512","-104.961043","141",
"1334013","39.897487","-104.961047","142",
"1334013","39.897487","-104.961047","143",
"1334013","39.897462","-104.961051","144",
"1334013","39.897462","-104.961051","145",
"1334013","39.897438","-104.961055","146",
"1334013","39.897438","-104.961055","147",
"1334013","39.897413","-104.961059","148",
"1334013","39.897413","-104.961059","149",
"1334013","39.897388","-104.961062","150",
"1334013","39.897388","-104.961062","151",
"1334013","39.897364","-104.961066","152",
"1334013","39.897364","-104.961066","153",
"1334013","39.897339","-104.961069","154",
"1334013","39.897339","-104.961069","155",
"1334013","39.897314","-104.961072","156",
"1334013","39.897314","-104.961072","157",
"1334013","39.89729","-104.961075","158",
"1334013","39.89729","-104.961075","159",
"1334013","39.897265","-104.961078","160",
"1334013","39.897265","-104.961078","161",
"1334013","39.89724","-104.961081","162",
"1334013","39.89724","-104.961081","163",
"1334013","39.897215","-104.961084","164",
"1334013","39.897215","-104.961084","165",
"1334013","39.897025","-104.961099","166",
"1334013","39.897025","-104.961099","167",
"1334013","39.896835","-104.961106","168",
"1334013","39.896835","-104.961106","169",
"1334013","39.896644","-104.961104","170",
"1334013","39.896644","-104.961104","171",
"1334013","39.896454","-104.961092","172",
"1334013","39.896454","-104.961092","173",
"1334013","39.896264","-104.961072","174",
"1334013","39.896264","-104.961072","175",
"1334013","39.896075","-104.961043","176",
"1334013","39.896075","-104.961043","177",
"1334013","39.895886","-104.961005","178",
"1334013","39.895886","-104.961005","179",
"1334013","39.895699","-104.960958","180",
"1334013","39.895699","-104.960958","181",
"1334013","39.895513","-104.960902","182",
"1334013","39.895513","-104.960902","183",
"1334013","39.895329","-104.960837","184",
"1334013","39.895329","-104.960837","185",
"1334013","39.895147","-104.960764","186",
"1334013","39.895147","-104.960764","187",
"1334013","39.894967","-104.960682","188",
"1334013","39.894967","-104.960682","189",
"1334013","39.89479","-104.960592","190",
"1334013","39.89479","-104.960592","191",
"1334013","39.894615","-104.960494","192",
"1334013","39.894615","-104.960494","193",
"1334013","39.894443","-104.960387","194",
"1334013","39.894443","-104.960387","195",
"1334013","39.894274","-104.960272","196",
"1334013","39.894274","-104.960272","197",
"1334013","39.894109","-104.96015","198",
"1334013","39.894109","-104.96015","199",
"1334013","39.893947","-104.960019","200",
"1334013","39.893947","-104.960019","201",
"1334013","39.893788","-104.959881","202",
"1334013","39.893788","-104.959881","203",
"1334013","39.893634","-104.959736","204",
"1334013","39.893634","-104.959736","205",
"1334013","39.893484","-104.959584","206",
"1334013","39.893484","-104.959584","207",
"1334013","39.893338","-104.959424","208",
"1334013","39.893338","-104.959424","209",
"1334013","39.893197","-104.959258","210",
"1334013","39.893197","-104.959258","211",
"1334013","39.893061","-104.959085","212",
"1334013","39.893061","-104.959085","213",
"1334013","39.892929","-104.958906","214",
"1334013","39.892929","-104.958906","215",
"1334013","39.892912","-104.958882","216",
"1334013","39.892912","-104.958882","217",
"1334013","39.892896","-104.958858","218",
"1334013","39.892896","-104.958858","219",
"1334013","39.892879","-104.958835","220",
"1334013","39.892879","-104.958835","221",
"1334013","39.892863","-104.95881","222",
"1334013","39.892863","-104.95881","223",
"1334013","39.892846","-104.958786","224",
"1334013","39.892846","-104.958786","225",
"1334013","39.89283","-104.958762","226",
"1334013","39.89283","-104.958762","227",
"1334013","39.892813","-104.958738","228",
"1334013","39.892813","-104.958738","229",
"1334013","39.892797","-104.958713","230",
"1334013","39.892797","-104.958713","231",
"1334013","39.892781","-104.958689","232",
"1334013","39.892781","-104.958689","233",
"1334013","39.892765","-104.958665","234",
"1334013","39.892765","-104.958665","235",
"1334013","39.892749","-104.95864","236",
"1334013","39.892749","-104.95864","237",
"1334013","39.892733","-104.958615","238",
"1334013","39.892733","-104.958615","239",
"1334013","39.892717","-104.958591","240",
"1334013","39.892717","-104.958591","241",
"1334013","39.892701","-104.958566","242",
"1334013","39.892701","-104.958566","243",
"1334013","39.892685","-104.958541","244",
"1334013","39.892685","-104.958541","245",
"1334013","39.892669","-104.958517","246",
"1334013","39.892669","-104.958517","247",
"1334013","39.892653","-104.958492","248",
"1334013","39.892653","-104.958492","249",
"1334013","39.892637","-104.958467","250",
"1334013","39.892637","-104.958467","251",
"1334013","39.892621","-104.958442","252",
"1334013","39.892621","-104.958442","253",
"1334013","39.892605","-104.958418","254",
"1334013","39.892605","-104.958418","255",
"1334013","39.892589","-104.958393","256",
"1334013","39.892589","-104.958393","257",
"1334013","39.888361","-104.95179","258",
"1334013","39.888361","-104.95179","259",
"1334013","39.888122","-104.951417","260",
"1334013","39.888122","-104.951417","261",
"1334013","39.887697","-104.950808","262",
"1334013","39.887697","-104.950808","263",
"1334013","39.887674","-104.950775","264",
"1334013","39.887674","-104.950775","265",
"1334013","39.887651","-104.950742","266",
"1334013","39.887651","-104.950742","267",
"1334013","39.887628","-104.950709","268",
"1334013","39.887628","-104.950709","269",
"1334013","39.887605","-104.950676","270",
"1334013","39.887605","-104.950676","271",
"1334013","39.887582","-104.950643","272",
"1334013","39.887582","-104.950643","273",
"1334013","39.88756","-104.95061","274",
"1334013","39.88756","-104.95061","275",
"1334013","39.887537","-104.950576","276",
"1334013","39.887537","-104.950576","277",
"1334013","39.887514","-104.950543","278",
"1334013","39.887514","-104.950543","279",
"1334013","39.887408","-104.950384","280",
"1334013","39.887408","-104.950384","281",
"1334013","39.887386","-104.95035","282",
"1334013","39.887386","-104.95035","283",
"1334013","39.887363","-104.950316","284",
"1334013","39.887363","-104.950316","285",
"1334013","39.887341","-104.950282","286",
"1334013","39.887341","-104.950282","287",
"1334013","39.887319","-104.950248","288",
"1334013","39.887319","-104.950248","289",
"1334013","39.887297","-104.950214","290",
"1334013","39.887297","-104.950214","291",
"1334013","39.887275","-104.950179","292",
"1334013","39.887275","-104.950179","293",
"1334013","39.887253","-104.950145","294",
"1334013","39.887253","-104.950145","295",
"1334013","39.887231","-104.950111","296",
"1334013","39.887231","-104.950111","297",
"1334013","39.882339","-104.942474","298",
"1334013","39.882339","-104.942474","299",
"1334013","39.882326","-104.942454","300",
"1334013","39.882326","-104.942454","301",
"1334013","39.882313","-104.942434","302",
"1334013","39.882313","-104.942434","303",
"1334013","39.8823","-104.942414","304",
"1334013","39.8823","-104.942414","305",
"1334013","39.882287","-104.942393","306",
"1334013","39.882287","-104.942393","307",
"1334013","39.882274","-104.942373","308",
"1334013","39.882274","-104.942373","309",
"1334013","39.882261","-104.942353","310",
"1334013","39.882261","-104.942353","311",
"1334013","39.882248","-104.942333","312",
"1334013","39.882248","-104.942333","313",
"1334013","39.882235","-104.942313","314",
"1334013","39.882235","-104.942313","315",
"1334013","39.882222","-104.942292","316",
"1334013","39.882222","-104.942292","317",
"1334013","39.882209","-104.942272","318",
"1334013","39.882209","-104.942272","319",
"1334013","39.882196","-104.942252","320",
"1334013","39.882196","-104.942252","321",
"1334013","39.882182","-104.942232","322",
"1334013","39.882182","-104.942232","323",
"1334013","39.882169","-104.942212","324",
"1334013","39.882169","-104.942212","325",
"1334013","39.882156","-104.942193","326",
"1334013","39.882156","-104.942193","327",
"1334013","39.882142","-104.942173","328",
"1334013","39.882142","-104.942173","329",
"1334013","39.882129","-104.942153","330",
"1334013","39.882129","-104.942153","331",
"1334013","39.882115","-104.942133","332",
"1334013","39.882115","-104.942133","333",
"1334013","39.882102","-104.942113","334",
"1334013","39.882102","-104.942113","335",
"1334013","39.882088","-104.942094","336",
"1334013","39.882088","-104.942094","337",
"1334013","39.882075","-104.942074","338",
"1334013","39.882075","-104.942074","339",
"1334013","39.882061","-104.942055","340",
"1334013","39.882061","-104.942055","341",
"1334013","39.882047","-104.942036","342",
"1334013","39.882047","-104.942036","343",
"1334013","39.882033","-104.942016","344",
"1334013","39.882033","-104.942016","345",
"1334013","39.882019","-104.941997","346",
"1334013","39.882019","-104.941997","347",
"1334013","39.882005","-104.941978","348",
"1334013","39.882005","-104.941978","349",
"1334013","39.881898","-104.94184","350",
"1334013","39.881898","-104.94184","351",
"1334013","39.881787","-104.941708","352",
"1334013","39.881787","-104.941708","353",
"1334013","39.881672","-104.941583","354",
"1334013","39.881672","-104.941583","355",
"1334013","39.881552","-104.941464","356",
"1334013","39.881552","-104.941464","357",
"1334013","39.881429","-104.941352","358",
"1334013","39.881429","-104.941352","359",
"1334013","39.881302","-104.941247","360",
"1334013","39.881302","-104.941247","361",
"1334013","39.881171","-104.941149","362",
"1334013","39.881171","-104.941149","363",
"1334013","39.881038","-104.941059","364",
"1334013","39.881038","-104.941059","365",
"1334013","39.880901","-104.940976","366",
"1334013","39.880901","-104.940976","367",
"1334013","39.880762","-104.9409","368",
"1334013","39.880762","-104.9409","369",
"1334013","39.880621","-104.940833","370",
"1334013","39.880621","-104.940833","371",
"1334013","39.880477","-104.940774","372",
"1334013","39.880477","-104.940774","373",
"1334013","39.880332","-104.940722","374",
"1334013","39.880332","-104.940722","375",
"1334013","39.880185","-104.940679","376",
"1334013","39.880185","-104.940679","377",
"1334013","39.880037","-104.940644","378",
"1334013","39.880037","-104.940644","379",
"1334013","39.879887","-104.940618","380",
"1334013","39.879887","-104.940618","381",
"1334013","39.879737","-104.940599","382",
"1334013","39.879737","-104.940599","383",
"1334013","39.879717","-104.940598","384",
"1334013","39.879717","-104.940598","385",
"1334013","39.879697","-104.940596","386",
"1334013","39.879697","-104.940596","387",
"1334013","39.879677","-104.940594","388",
"1334013","39.879677","-104.940594","389",
"1334013","39.879656","-104.940593","390",
"1334013","39.879656","-104.940593","391",
"1334013","39.879636","-104.940592","392",
"1334013","39.879636","-104.940592","393",
"1334013","39.879616","-104.940591","394",
"1334013","39.879616","-104.940591","395",
"1334013","39.879596","-104.94059","396",
"1334013","39.879596","-104.94059","397",
"1334013","39.879575","-104.940589","398",
"1334013","39.879575","-104.940589","399",
"1334013","39.879555","-104.940588","400",
"1334013","39.879555","-104.940588","401",
"1334013","39.879535","-104.940587","402",
"1334013","39.879535","-104.940587","403",
"1334013","39.879514","-104.940587","404",
"1334013","39.879514","-104.940587","405",
"1334013","39.879494","-104.940586","406",
"1334013","39.879494","-104.940586","407",
"1334013","39.879474","-104.940586","408",
"1334013","39.879474","-104.940586","409",
"1334013","39.879453","-104.940585","410",
"1334013","39.879453","-104.940585","411",
"1334013","39.879433","-104.940585","412",
"1334013","39.879433","-104.940585","413",
"1334013","39.879413","-104.940585","414",
"1334013","39.879413","-104.940585","415",
"1334013","39.879393","-104.940584","416",
"1334013","39.879393","-104.940584","417",
"1334013","39.879372","-104.940584","418",
"1334013","39.879372","-104.940584","419",
"1334013","39.879352","-104.940584","420",
"1334013","39.879352","-104.940584","421",
"1334013","39.879332","-104.940584","422",
"1334013","39.879332","-104.940584","423",
"1334013","39.879311","-104.940584","424",
"1334013","39.879311","-104.940584","425",
"1334013","39.879291","-104.940584","426",
"1334013","39.879291","-104.940584","427",
"1334013","39.879271","-104.940584","428",
"1334013","39.879271","-104.940584","429",
"1334013","39.87925","-104.940584","430",
