"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled","timepoint"
"115878677","14:26:00","14:26:00","34668","1",,"0","1",,"1"
"115878677","14:34:00","14:34:00","35247","2",,"0","0",,"1"
"115878677","14:40:30","14:40:30","35249","3",,"0","0",,"1"
"115878677","14:44:30","14:44:30","35251","4",,"0","0",,"1"
"115878677","14:48:15","14:48:15","35253","5",,"0","0",,"1"
"115878677","14:51:45","14:51:45","35255","6",,"0","0",,"1"
"115878677","14:56:45","14:56:45","35257","7",,"1","0",,"1"
"115878688","23:26:00","23:26:00","34668","1",,"0","1",,"1"
"115878688","23:34:00","23:34:00","35247","2",,"0","0",,"1"
"115878688","23:40:30","23:40:30","35249","3",,"0","0",,"1"
"115878688","23:44:30","23:44:30","35251","4",,"0","0",,"1"
"115878688","23:48:15","23:48:15","35253","5",,"0","0",,"1"
"115878688","23:51:45","23:51:45","35255","6",,"0","0",,"1"
"115878688","23:56:45","23:56:45","35257","7",,"1","0",,"1"
"115878675","13:26:00","13:26:00","34668","1",,"0","1",,"1"
"115878675","13:34:00","13:34:00","35247","2",,"0","0",,"1"
"115878675","13:40:30","13:40:30","35249","3",,"0","0",,"1"
"115878675","13:44:30","13:44:30","35251","4",,"0","0",,"1"
"115878675","13:48:15","13:48:15","35253","5",,"0","0",,"1"
"115878675","13:51:45","13:51:45","35255","6",,"0","0",,"1"
"115878675","13:56:45","13:56:45","35257","7",,"1","0",,"1"
"115878686","22:26:00","22:26:00","34668","1",,"0","1",,"1"
"115878686","22:34:00","22:34:00","35247","2",,"0","0",,"1"
"115878686","22:40:30","22:40:30","35249","3",,"0","0",,"1"
"115878686","22:44:30","22:44:30","35251","4",,"0","0",,"1"
"115878686","22:48:15","22:48:15","35253","5",,"0","0",,"1"
"115878686","22:51:45","22:51:45","35255","6",,"0","0",,"1"
"115878686","22:56:45","22:56:45","35257","7",,"1","0",,"1"
"115878759","15:26:00","15:26:00","34668","1",,"0","1",,"1"
