office_id,office_name,office_url,office_phone
浄心営業所,浄心営業所,,052-521-8990
楠営業所,楠営業所,,052-934-7388
如意営業所,如意営業所,,052-901-1732
中川営業所,中川営業所,,052-361-6433
稲西営業所,稲西営業所,,052-411-8308
港明営業所,港明営業所,,052-652-3711
鳴尾営業所,鳴尾営業所,,052-611-2355
緑営業所,緑営業所,,052-876-9821
野並営業所,野並営業所,,052-896-5386
猪高営業所,猪高営業所,,052-772-2103
御器所営業所,御器所営業所,,052-842-4681
大森営業所,大森営業所,,052-798-1608
