route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
101C,FR,115906223,C-Line to Mineral,1, 101 16,1333867
101C,FR,115906224,C-Line to Mineral,1, 101 16,1333867
101C,FR,115906225,C-Line to Mineral,1, 101 15,1333867
101C,FR,115906226,C-Line to Mineral,1, 101 14,1333867
101C,FR,115906227,C-Line to Mineral,1, 101 16,1333867
101C,FR,115906228,C-Line to Mineral,1, 101 15,1333867
101C,FR,115906229,C-Line to Mineral,1, 101 14,1333867
101C,FR,115906230,C-Line to Mineral,1, 101 16,1333867
101C,FR,115906231,C-Line to Mineral,1, 101 15,1333867
101C,FR,115906232,C-Line to Mineral,1, 101 14,1333867
101C,FR,115906233,C-Line to Mineral,1, 101 16,1333867
101C,FR,115906234,C-Line to Mineral,1, 101 15,1333867
101C,FR,115906235,C-Line to Mineral,1, 101 14,1333867
101C,FR,115906236,C-Line to Mineral,1, 101 16,1333867
101C,FR,115906237,C-Line to Mineral,1, 101 15,1333867
101C,FR,115906238,C-Line to Mineral,1, 101 14,1333867
101C,FR,115906239,C-Line to Mineral,1, 101 16,1333867
101C,FR,115906240,C-Line to Mineral,1, 101 15,1333867
101C,FR,115906249,C-Line to Mineral,1, 101 11,1333865
101C,FR,115906250,C-Line to Mineral,1, 101 12,1333865
101C,FR,115906251,C-Line to Mineral,1, 101 13,1333865
101C,FR,115906252,C-Line to Mineral,1, 101 16,1333865
101C,FR,115906263,C-Line to Mineral,1, 101 14,1333867
101C,FR,115906279,C-Line to Mineral,1, 101 16,1333867
101C,FR,115906280,C-Line to Mineral,1, 101 15,1333867
101C,FR,115906281,C-Line to Mineral,1, 101 13,1333867
101C,FR,115906282,C-Line to Mineral,1, 101 11,1333867
101C,FR,115906283,C-Line to Mineral,1, 101 15,1333867
101C,FR,115906284,C-Line to Mineral,1, 101 15,1333867
101C,FR,115906285,C-Line to Mineral,1, 101 14,1333867
101C,FR,115906286,C-Line to Mineral,1, 101 16,1333867
101C,FR,115906287,C-Line to Mineral,1, 101 15,1333867
101C,FR,115906288,C-Line to Mineral,1, 101 14,1333867
101C,FR,115906289,C-Line to Mineral,1, 101 16,1333867
101C,FR,115906290,C-Line to Mineral,1, 101 15,1333867
101C,FR,115906291,C-Line to Mineral,1, 101 14,1333867
101C,MT,115905410,C-Line Union Station,0, 101 14,1333836
101C,MT,115905428,C-Line Union Station,0, 101 16,1333836
101C,MT,115905429,C-Line Union Station,0, 101 11,1333836
101C,MT,115905430,C-Line Union Station,0, 101 13,1333836
101C,MT,115905431,C-Line Union Station,0, 101 15,1333836
101C,MT,115905432,C-Line Union Station,0, 101 16,1333836
101C,MT,115905433,C-Line Union Station,0, 101 11,1333836
101C,MT,115905434,C-Line Union Station,0, 101 13,1333836
101C,MT,115905435,C-Line Union Station,0, 101 12,1333836
101C,MT,115905436,C-Line Union Station,0, 101 11,1333836
101C,MT,115905437,C-Line Union Station,0, 101 13,1333836
101C,MT,115905438,C-Line Union Station,0, 101 12,1333836
101C,MT,115905439,C-Line Union Station,0, 101 11,1333836
101C,MT,115905440,C-Line Union Station,0, 101 13,1333836
101C,MT,115905441,C-Line Union Station,0, 101 12,1333836
101C,MT,115905442,C-Line Union Station,0, 101 11,1333836
101C,MT,115905443,C-Line Union Station,0, 101 13,1333836
101C,MT,115905444,C-Line Union Station,0, 101 12,1333836
101C,MT,115905445,C-Line Union Station,0, 101 11,1333836
101C,MT,115905446,C-Line Union Station,0, 101 13,1333836
101C,MT,115905447,C-Line Union Station,0, 101 12,1333836
101C,MT,115905448,C-Line Union Station,0, 101 11,1333836
101C,MT,115905449,C-Line Union Station,0, 101 13,1333836
101C,MT,115905450,C-Line Union Station,0, 101 12,1333836
101C,MT,115905451,C-Line Union Station,0, 101 11,1333836
101C,MT,115905452,C-Line Union Station,0, 101 13,1333836
101C,MT,115905453,C-Line Union Station,0, 101 12,1333836
101C,MT,115905454,C-Line Union Station,0, 101 11,1333836
101C,MT,115905455,C-Line Union Station,0, 101 13,1333836
101C,MT,115905456,C-Line Union Station,0, 101 12,1333836
101C,MT,115905457,C-Line Union Station,0, 101 11,1333836
101C,MT,115905458,C-Line Union Station,0, 101 13,1333836
101C,MT,115905480,C-Line Union Station,0, 101 12,1333836
101C,MT,115905481,C-Line Union Station,0, 101 11,1333836
101C,MT,115905482,C-Line Union Station,0, 101 15,1333836
101C,MT,115905483,C-Line Union Station,0, 101 16,1333836
101C,MT,115905484,C-Line Union Station,0, 101 14,1333836
101C,MT,115905485,C-Line Union Station,0, 101 15,1333836
101C,MT,115905486,C-Line Union Station,0, 101 16,1333836
101C,MT,115905487,C-Line Union Station,0, 101 14,1333836
101C,MT,115905488,C-Line Union Station,0, 101 15,1333836
101C,MT,115905489,C-Line Union Station,0, 101 16,1333836
101C,MT,115905490,C-Line Union Station,0, 101 14,1333836
101C,MT,115905491,C-Line Union Station,0, 101 15,1333836
101C,MT,115905492,C-Line Union Station,0, 101 16,1333836
101C,MT,115905493,C-Line Union Station,0, 101 14,1333836
101C,MT,115905494,C-Line Union Station,0, 101 15,1333836
101C,MT,115905495,C-Line Union Station,0, 101 16,1333836
101C,MT,115905496,C-Line Union Station,0, 101 14,1333836
101C,MT,115905497,C-Line Union Station,0, 101 15,1333836
101C,MT,115905498,C-Line Union Station,0, 101 16,1333836
101C,MT,115905499,C-Line Union Station,0, 101 14,1333836
101C,MT,115905500,C-Line Union Station,0, 101 15,1333836
101C,MT,115905501,C-Line Union Station,0, 101 16,1333836
101C,MT,115905502,C-Line Union Station,0, 101 14,1333836
101C,MT,115905503,C-Line Union Station,0, 101 15,1333836
101C,MT,115905504,C-Line Union Station,0, 101 16,1333836
101C,MT,115905505,C-Line Union Station,0, 101 14,1333836
101C,MT,115905506,C-Line Union Station,0, 101 13,1333836
101C,MT,115905507,C-Line Union Station,0, 101 15,1333836
101C,MT,115905508,C-Line Union Station,0, 101 11,1333836
101C,MT,115905509,C-Line Union Station,0, 101 13,1333836
101C,MT,115905510,C-Line Union Station,0, 101 15,1333836
101C,MT,115905511,C-Line Union Station,0, 101 16,1333836
101C,MT,115905578,C-Line to Mineral,1, 101 12,1333867
101C,MT,115905579,C-Line to Mineral,1, 101 11,1333867
101C,MT,115905640,C-Line to Mineral,1, 101 14,1333865
101C,MT,115905721,C-Line to Mineral,1, 101 14,1333867
101C,MT,115905722,C-Line to Mineral,1, 101 15,1333867
101C,MT,115905723,C-Line to Mineral,1, 101 16,1333867
101C,MT,115905724,C-Line to Mineral,1, 101 14,1333867
101C,MT,115905725,C-Line to Mineral,1, 101 15,1333867
101C,MT,115905726,C-Line to Mineral,1, 101 16,1333867
101C,MT,115905727,C-Line to Mineral,1, 101 14,1333867
101C,MT,115905728,C-Line to Mineral,1, 101 15,1333867
101C,MT,115905729,C-Line to Mineral,1, 101 15,1333867
101C,MT,115905745,C-Line to Mineral,1, 101 14,1333867
101C,MT,115905755,C-Line to Mineral,1, 101 16,1333865
101C,MT,115905756,C-Line to Mineral,1, 101 13,1333865
101C,MT,115905757,C-Line to Mineral,1, 101 12,1333865
101C,MT,115905758,C-Line to Mineral,1, 101 11,1333865
101C,MT,115905767,C-Line to Mineral,1, 101 15,1333867
101C,MT,115905768,C-Line to Mineral,1, 101 16,1333867
101C,MT,115905769,C-Line to Mineral,1, 101 14,1333867
101C,MT,115905770,C-Line to Mineral,1, 101 15,1333867
101C,MT,115905771,C-Line to Mineral,1, 101 16,1333867
101C,MT,115905772,C-Line to Mineral,1, 101 14,1333867
101C,MT,115905773,C-Line to Mineral,1, 101 15,1333867
101C,MT,115905774,C-Line to Mineral,1, 101 16,1333867
101C,MT,115905775,C-Line to Mineral,1, 101 14,1333867
101C,MT,115905776,C-Line to Mineral,1, 101 15,1333867
101C,MT,115905777,C-Line to Mineral,1, 101 16,1333867
101C,MT,115905778,C-Line to Mineral,1, 101 14,1333867
101C,MT,115905779,C-Line to Mineral,1, 101 15,1333867
101C,MT,115905780,C-Line to Mineral,1, 101 16,1333867
101C,MT,115905781,C-Line to Mineral,1, 101 14,1333867
101C,MT,115905782,C-Line to Mineral,1, 101 15,1333867
101C,MT,115905783,C-Line to Mineral,1, 101 16,1333867
101C,MT,115905784,C-Line to Mineral,1, 101 16,1333867
101C,MT,115905785,C-Line to Mineral,1, 101 11,1333867
101C,MT,115905786,C-Line to Mineral,1, 101 13,1333867
101C,MT,115905787,C-Line to Mineral,1, 101 16,1333867
101C,MT,115905788,C-Line to Mineral,1, 101 11,1333867
101C,MT,115905789,C-Line to Mineral,1, 101 13,1333867
101C,MT,115905790,C-Line to Mineral,1, 101 15,1333867
101C,MT,115905791,C-Line to Mineral,1, 101 15,1333867
101C,MT,115905792,C-Line to Mineral,1, 101 16,1333867
101C,MT,115905793,C-Line to Mineral,1, 101 11,1333867
101C,MT,115905794,C-Line to Mineral,1, 101 13,1333867
101C,MT,115905795,C-Line to Mineral,1, 101 12,1333867
101C,MT,115905796,C-Line to Mineral,1, 101 11,1333867
101C,MT,115905797,C-Line to Mineral,1, 101 13,1333867
101C,MT,115905798,C-Line to Mineral,1, 101 12,1333867
101C,MT,115905799,C-Line to Mineral,1, 101 11,1333867
101C,MT,115905800,C-Line to Mineral,1, 101 13,1333867
101C,MT,115905801,C-Line to Mineral,1, 101 12,1333867
101C,MT,115905802,C-Line to Mineral,1, 101 11,1333867
101C,MT,115905803,C-Line to Mineral,1, 101 13,1333867
101C,MT,115905804,C-Line to Mineral,1, 101 12,1333867
101C,MT,115905805,C-Line to Mineral,1, 101 11,1333867
101C,MT,115905806,C-Line to Mineral,1, 101 13,1333867
101C,MT,115905807,C-Line to Mineral,1, 101 12,1333867
101C,MT,115905808,C-Line to Mineral,1, 101 11,1333867
101C,MT,115905809,C-Line to Mineral,1, 101 13,1333867
101C,MT,115905810,C-Line to Mineral,1, 101 12,1333867
101C,MT,115905811,C-Line to Mineral,1, 101 11,1333867
101C,MT,115905812,C-Line to Mineral,1, 101 13,1333867
101C,MT,115905813,C-Line to Mineral,1, 101 12,1333867
101C,MT,115905814,C-Line to Mineral,1, 101 11,1333867
101C,MT,115905815,C-Line to Mineral,1, 101 13,1333867
101C,MT,115905816,C-Line to Mineral,1, 101 12,1333867
101C,MT,115905817,C-Line to Mineral,1, 101 11,1333867
101C,MT,115905818,C-Line to Mineral,1, 101 13,1333867
101C,SA,115906481,C-Line Union Station,0, 101 13,1333836
101C,SA,115906498,C-Line Union Station,0, 101 11,1333836
101C,SA,115906499,C-Line Union Station,0, 101 15,1333836
101C,SA,115906500,C-Line Union Station,0, 101 13,1333836
101C,SA,115906501,C-Line Union Station,0, 101 12,1333836
101C,SA,115906502,C-Line Union Station,0, 101 11,1333836
101C,SA,115906503,C-Line Union Station,0, 101 15,1333836
101C,SA,115906504,C-Line Union Station,0, 101 14,1333836
101C,SA,115906505,C-Line Union Station,0, 101 16,1333836
101C,SA,115906506,C-Line Union Station,0, 101 15,1333836
101C,SA,115906507,C-Line Union Station,0, 101 14,1333836
101C,SA,115906508,C-Line Union Station,0, 101 16,1333836
101C,SA,115906509,C-Line Union Station,0, 101 15,1333836
101C,SA,115906510,C-Line Union Station,0, 101 14,1333836
101C,SA,115906511,C-Line Union Station,0, 101 16,1333836
101C,SA,115906512,C-Line Union Station,0, 101 15,1333836
101C,SA,115906513,C-Line Union Station,0, 101 14,1333836
101C,SA,115906514,C-Line Union Station,0, 101 16,1333836
101C,SA,115906515,C-Line Union Station,0, 101 15,1333836
101C,SA,115906516,C-Line Union Station,0, 101 14,1333836
101C,SA,115906517,C-Line Union Station,0, 101 16,1333836
101C,SA,115906518,C-Line Union Station,0, 101 15,1333836
101C,SA,115906519,C-Line Union Station,0, 101 14,1333836
101C,SA,115906520,C-Line Union Station,0, 101 16,1333836
101C,SA,115906521,C-Line Union Station,0, 101 15,1333836
101C,SA,115906543,C-Line Union Station,0, 101 12,1333836
101C,SA,115906544,C-Line Union Station,0, 101 11,1333836
101C,SA,115906545,C-Line Union Station,0, 101 12,1333836
101C,SA,115906546,C-Line Union Station,0, 101 11,1333836
101C,SA,115906547,C-Line Union Station,0, 101 13,1333836
101C,SA,115906548,C-Line Union Station,0, 101 12,1333836
101C,SA,115906549,C-Line Union Station,0, 101 11,1333836
101C,SA,115906550,C-Line Union Station,0, 101 13,1333836
101C,SA,115906551,C-Line Union Station,0, 101 12,1333836
101C,SA,115906552,C-Line Union Station,0, 101 11,1333836
101C,SA,115906553,C-Line Union Station,0, 101 13,1333836
101C,SA,115906554,C-Line Union Station,0, 101 12,1333836
101C,SA,115906555,C-Line Union Station,0, 101 11,1333836
101C,SA,115906556,C-Line Union Station,0, 101 13,1333836
101C,SA,115906557,C-Line Union Station,0, 101 12,1333836
101C,SA,115906558,C-Line Union Station,0, 101 11,1333836
101C,SA,115906559,C-Line Union Station,0, 101 13,1333836
101C,SA,115906560,C-Line Union Station,0, 101 12,1333836
101C,SA,115906561,C-Line Union Station,0, 101 11,1333836
101C,SA,115906562,C-Line Union Station,0, 101 13,1333836
101C,SA,115906563,C-Line Union Station,0, 101 12,1333836
101C,SA,115906564,C-Line Union Station,0, 101 11,1333836
101C,SA,115906565,C-Line Union Station,0, 101 13,1333836
101C,SA,115906566,C-Line Union Station,0, 101 12,1333836
101C,SA,115906567,C-Line Union Station,0, 101 11,1333836
101C,SA,115906568,C-Line Union Station,0, 101 13,1333836
101C,SA,115906569,C-Line Union Station,0, 101 12,1333836
101C,SA,115906570,C-Line Union Station,0, 101 11,1333836
101C,SA,115906571,C-Line Union Station,0, 101 15,1333836
101C,SA,115906572,C-Line Union Station,0, 101 13,1333836
101C,SA,115906573,C-Line Union Station,0, 101 12,1333836
101C,SA,115906574,C-Line Union Station,0, 101 15,1333836
101C,SA,115906575,C-Line Union Station,0, 101 13,1333836
101C,SA,115906576,C-Line Union Station,0, 101 12,1333836
101C,SA,115906577,C-Line Union Station,0, 101 11,1333836
101C,SA,115906639,C-Line to Mineral,1, 101 13,1333867
101C,SA,115906640,C-Line to Mineral,1, 101 12,1333867
101C,SA,115906641,C-Line to Mineral,1, 101 11,1333867
101C,SA,115906642,C-Line to Mineral,1, 101 13,1333867
101C,SA,115906643,C-Line to Mineral,1, 101 12,1333867
101C,SA,115906644,C-Line to Mineral,1, 101 11,1333867
101C,SA,115906645,C-Line to Mineral,1, 101 13,1333867
101C,SA,115906646,C-Line to Mineral,1, 101 12,1333867
101C,SA,115906647,C-Line to Mineral,1, 101 15,1333867
101C,SA,115906648,C-Line to Mineral,1, 101 13,1333867
101C,SA,115906649,C-Line to Mineral,1, 101 12,1333867
101C,SA,115906650,C-Line to Mineral,1, 101 11,1333867
101C,SA,115906666,C-Line to Mineral,1, 101 13,1333867
101C,SA,115906676,C-Line to Mineral,1, 101 16,1333865
101C,SA,115906677,C-Line to Mineral,1, 101 13,1333865
101C,SA,115906678,C-Line to Mineral,1, 101 12,1333865
101C,SA,115906679,C-Line to Mineral,1, 101 11,1333865
101C,SA,115906688,C-Line to Mineral,1, 101 12,1333867
101C,SA,115906689,C-Line to Mineral,1, 101 11,1333867
101C,SA,115906690,C-Line to Mineral,1, 101 13,1333867
101C,SA,115906691,C-Line to Mineral,1, 101 12,1333867
101C,SA,115906692,C-Line to Mineral,1, 101 11,1333867
101C,SA,115906693,C-Line to Mineral,1, 101 13,1333867
101C,SA,115906694,C-Line to Mineral,1, 101 12,1333867
101C,SA,115906695,C-Line to Mineral,1, 101 11,1333867
101C,SA,115906696,C-Line to Mineral,1, 101 13,1333867
101C,SA,115906697,C-Line to Mineral,1, 101 12,1333867
101C,SA,115906698,C-Line to Mineral,1, 101 11,1333867
101C,SA,115906699,C-Line to Mineral,1, 101 13,1333867
101C,SA,115906700,C-Line to Mineral,1, 101 12,1333867
101C,SA,115906701,C-Line to Mineral,1, 101 11,1333867
101C,SA,115906702,C-Line to Mineral,1, 101 13,1333867
101C,SA,115906703,C-Line to Mineral,1, 101 12,1333867
101C,SA,115906704,C-Line to Mineral,1, 101 11,1333867
101C,SA,115906705,C-Line to Mineral,1, 101 11,1333867
101C,SA,115906706,C-Line to Mineral,1, 101 15,1333867
101C,SA,115906707,C-Line to Mineral,1, 101 13,1333867
101C,SA,115906708,C-Line to Mineral,1, 101 11,1333867
101C,SA,115906709,C-Line to Mineral,1, 101 15,1333867
101C,SA,115906710,C-Line to Mineral,1, 101 13,1333867
101C,SA,115906711,C-Line to Mineral,1, 101 12,1333867
101C,SA,115906712,C-Line to Mineral,1, 101 12,1333867
