service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,1,20260518,20260815
2,0,0,0,0,1,0,0,20260518,20260815
3,0,0,0,0,1,0,0,20260518,20260815
4,0,0,0,0,0,1,0,20260518,20260815
5,0,0,0,0,1,0,0,20260518,20260815
6,0,0,0,0,1,0,0,20260518,20260815
7,1,1,1,1,0,0,0,20260518,20260815
8,1,1,1,1,0,0,0,20260518,20260815
9,0,0,0,0,0,1,0,20260518,20260815
10,0,0,0,0,0,1,0,20260518,20260815
11,1,0,0,0,0,0,0,20260518,20260815
